flask,block,antibiotic,competitor_1,competitor_2,background,comp1_d0,comp2_d0,comp1_d1,comp2_d1,comp1_d3,comp2_d3,paired_ID
9,3,AMP,REL11339,REL11638,,158,226,144,212,129,257,4
10,3,AMP,REL11389,REL11638,,89,164,204,261,179,191,5
11,3,AMP,REL10948,REL11638,,186,197,198,236,231,199,6
12,3,AMP,KJC109,REL607,Ancestor,296,279,143,362,38,434,7
13,3,AMP,KJC120,REL10948,AraP4,99,201,144,206,126,102,8
14,3,AMP,KJC121,REL10948,AraP5,167,251,237,234,205,164,9
15,3,AMP,KJC122,REL11638,AraM5,113,206,63,348,3,431,10
16,3,AMP,KJC123,REL11638,AraM6,202,233,194,193,213,176,11
17,3,AMP,REL606,REL607,,213,251,174,160,209,181,7
18,3,AMP,REL11348,REL10948,,214,230,238,298,220,244,8
19,3,AMP,REL11367,REL10948,,155,257,174,193,222,158,9
20,3,AMP,REL11339,REL11638,,151,226,141,224,146,244,10
21,3,AMP,REL11389,REL11638,,89,180,173,176,241,263,11
22,3,AMP,REL10948,REL11638,,241,219,221,199,242,217,12
23,3,AMP,KJC110,REL607,Ancestor,238,282,195,279,84,313,13
24,3,AMP,KJC111,REL607,Ancestor,234,280,175,242,180,300,14
25,3,AMP,KJC128,REL10948,AraP4,110,257,44,233,74,183,15
26,3,AMP,KJC129,REL10948,AraP5,156,218,78,342,7,429,16
27,3,AMP,KJC130,REL11638,AraM5,119,158,197,223,163,200,17
28,3,AMP,KJC131,REL11638,AraM6,210,211,251,255,189,172,18
29,3,AMP,REL606,REL607,,247,262,215,188,160,159,13
30,3,AMP,REL606,REL607,,263,277,270,221,174,175,14
31,3,AMP,REL11348,REL10948,,144,182,254,249,183,217,15
32,3,AMP,REL11367,REL10948,,197,273,128,291,129,177,16
33,3,AMP,REL11339,REL11638,,173,199,158,166,86,247,17
34,3,AMP,REL11389,REL11638,,188,212,100,229,128,100,18
35,3,AMP,REL10948,REL11638,,205,211,223,207,209,181,19
1,4,AMP,KJC108,REL607,Ancestor,251,245,232,217,246,193,1
2,4,AMP,KJC112,REL10948,AraP4,178,239,31,397,9,308,2
3,4,AMP,KJC113,REL10948,AraP5,176,257,81,465,1,175,3
4,4,AMP,KJC114,REL11638,AraM5,152,261,107,432,1,351,4
5,4,AMP,KJC115,REL11638,AraM6,161,227,206,278,150,199,5
6,4,AMP,REL606,REL607,,299,309,283,263,230,238,1
7,4,AMP,REL11348,REL10948,,283,279,308,350,279,285,2
8,4,AMP,REL11367,REL10948,,228,258,212,305,116,261,3
9,4,AMP,REL11339,REL11638,,204,254,204,280,121,209,4
10,4,AMP,REL11389,REL11638,,214,235,246,301,238,237,5
11,4,AMP,REL10948,REL11638,,270,247,283,295,200,207,6
12,4,AMP,KJC109,REL607,Ancestor,306,332,191,403,46,408,7
13,4,AMP,KJC120,REL10948,AraP4,186,290,126,262,153,160,8
14,4,AMP,KJC121,REL10948,AraP5,224,297,117,241,171,253,9
15,4,AMP,KJC122,REL11638,AraM5,139,202,53,382,3,447,10
16,4,AMP,KJC123,REL11638,AraM6,207,255,241,200,275,246,11
17,4,AMP,REL606,REL607,,274,243,278,239,211,182,7
18,4,AMP,REL11348,REL10948,,272,305,203,242,133,173,8
19,4,AMP,REL11367,REL10948,,235,263,142,324,114,340,9
20,4,AMP,REL11339,REL11638,,202,267,147,206,156,317,10
21,4,AMP,REL11389,REL11638,,268,258,225,233,183,193,11
22,4,AMP,REL10948,REL11638,,309,308,262,226,184,172,12
23,4,AMP,KJC110,REL607,Ancestor,244,244,204,315,77,303,13
24,4,AMP,KJC111,REL607,Ancestor,277,316,251,231,236,231,14
25,4,AMP,KJC128,REL10948,AraP4,103,252,28,174,63,197,15
26,4,AMP,KJC129,REL10948,AraP5,215,247,83,391,13,584,16
27,4,AMP,KJC130,REL11638,AraM5,238,273,163,201,249,185,17
28,4,AMP,KJC131,REL11638,AraM6,237,288,209,262,286,123,18
29,4,AMP,REL606,REL607,,353,352,225,216,194,201,13
30,4,AMP,REL606,REL607,,360,414,42,51,215,215,14
31,4,AMP,REL11348,REL10948,,279,265,243,223,278,276,15
32,4,AMP,REL11367,REL10948,,241,255,194,259,152,316,16
33,4,AMP,REL11339,REL11638,,265,315,148,192,116,184,17
34,4,AMP,REL11389,REL11638,,394,415,176,163,237,167,18
35,4,AMP,REL10948,REL11638,,112,107,247,244,157,155,19
1,5,AMP,KJC108,REL607,Ancestor,288,305,263,315,290,249,1
2,5,AMP,KJC112,REL10948,AraP4,143,265,58,415,18,254,2
3,5,AMP,KJC113,REL10948,AraP5,162,264,93,378,13,523,3
4,5,AMP,KJC114,REL11638,AraM5,238,309,178,348,4,541,4
5,5,AMP,KJC115,REL11638,AraM6,244,258,290,288,299,253,5
6,5,AMP,REL606,REL607,,374,372,290,275,272,317,1
7,5,AMP,REL11348,REL10948,,311,316,397,361,363,292,2
8,5,AMP,REL11367,REL10948,,328,292,182,362,122,289,3
9,5,AMP,REL11339,REL11638,,355,306,302,265,176,180,4
10,5,AMP,REL11389,REL11638,,410,319,345,211,369,187,5
11,5,AMP,REL10948,REL11638,,299,308,222,242,220,238,6
12,5,AMP,KJC109,REL607,Ancestor,300,366,121,354,41,523,7
13,5,AMP,KJC120,REL10948,AraP4,189,256,67,203,66,111,8
14,5,AMP,KJC121,REL10948,AraP5,236,314,233,270,217,211,9
15,5,AMP,KJC122,REL11638,AraM5,185,313,41,313,1,498,10
16,5,AMP,KJC123,REL11638,AraM6,279,328,296,164,276,75,11
17,5,AMP,REL606,REL607,,425,393,241,246,276,287,7
18,5,AMP,REL11348,REL10948,,377,303,202,181,284,228,8
19,5,AMP,REL11367,REL10948,,280,301,181,316,125,309,9
20,5,AMP,REL11339,REL11638,,342,318,244,186,156,176,10
21,5,AMP,REL11389,REL11638,,353,310,360,243,260,140,11
22,5,AMP,REL10948,REL11638,,226,263,184,212,298,301,12
23,5,AMP,KJC110,REL607,Ancestor,242,242,113,271,35,269,13
24,5,AMP,KJC111,REL607,Ancestor,290,358,289,269,183,206,14
25,5,AMP,KJC128,REL10948,AraP4,27,339,11,163,13,251,15
26,5,AMP,KJC129,REL10948,AraP5,232,333,111,231,28,706,16
27,5,AMP,KJC130,REL11638,AraM5,218,291,224,259,221,271,17
28,5,AMP,KJC131,REL11638,AraM6,304,299,355,183,246,111,18
29,5,AMP,REL606,REL607,,364,386,363,369,221,219,13
30,5,AMP,REL606,REL607,,386,405,305,315,258,249,14
31,5,AMP,REL11348,REL10948,,346,314,183,157,370,209,15
32,5,AMP,REL11367,REL10948,,357,321,108,247,193,374,16
33,5,AMP,REL11339,REL11638,,297,304,201,170,92,152,17
34,5,AMP,REL11389,REL11638,,472,310,273,140,403,169,18
35,5,AMP,REL10948,REL11638,,320,325,294,321,95,87,19
